SampleName,Total_Base_Pairs
SRR5898959_1.fastq.gz,340816565
SRR5898909_1.fastq.gz,370680791
SRR5898960_1.fastq.gz,537013841
SRR5898910_1.fastq.gz,1019643047
SRR5898961_1.fastq.gz,760906549
SRR5898911_1.fastq.gz,544385107
SRR5898962_1.fastq.gz,457533473
SRR5898912_1.fastq.gz,499566024
SRR5898963_1.fastq.gz,490723414
SRR5898913_1.fastq.gz,617110633
SRR5898964_1.fastq.gz,489772000
SRR5898914_1.fastq.gz,739210888
SRR5898965_1.fastq.gz,519074423
SRR5898915_1.fastq.gz,869870190
SRR5898966_1.fastq.gz,500958500
SRR5898916_1.fastq.gz,746219139
SRR5898967_1.fastq.gz,671265305
SRR5898917_1.fastq.gz,673958575
SRR5898968_1.fastq.gz,391035852
SRR5898918_1.fastq.gz,321835392
SRR5898969_1.fastq.gz,694815044
SRR5898919_1.fastq.gz,457361309
SRR5898970_1.fastq.gz,467310061
SRR5898920_1.fastq.gz,583266192
SRR5898971_1.fastq.gz,653418408
SRR5898921_1.fastq.gz,819299499
SRR5898972_1.fastq.gz,757866526
SRR5898922_1.fastq.gz,819554280
SRR5898973_1.fastq.gz,460916361
SRR5898923_1.fastq.gz,1006845718
SRR5898974_1.fastq.gz,511227920
SRR5898924_1.fastq.gz,781345822
SRR5898975_1.fastq.gz,923609714
SRR5898925_1.fastq.gz,644859015
SRR5898976_1.fastq.gz,545230271
SRR5898926_1.fastq.gz,391987261
SRR5898977_1.fastq.gz,903567346
SRR5898927_1.fastq.gz,434160193
SRR5898978_1.fastq.gz,699896358
SRR5898928_1.fastq.gz,384742990
SRR5898979_1.fastq.gz,747506043
SRR5898929_1.fastq.gz,458586634
SRR5898980_1.fastq.gz,391488791
SRR5898930_1.fastq.gz,598424011
SRR5898981_1.fastq.gz,463326331
SRR5898931_1.fastq.gz,379113220
SRR5898982_1.fastq.gz,371684496
SRR5898932_1.fastq.gz,786643917
SRR5898933_1.fastq.gz,388982806
SRR5898983_1.fastq.gz,675125975
SRR5898934_1.fastq.gz,539150782
SRR5898984_1.fastq.gz,496981375
SRR5898935_1.fastq.gz,553521563
SRR5898985_1.fastq.gz,637881790
SRR5898936_1.fastq.gz,391447907
SRR5898986_1.fastq.gz,617665261
SRR5898937_1.fastq.gz,679735933
SRR5898987_1.fastq.gz,449039234
SRR5898938_1.fastq.gz,516989081
SRR5898988_1.fastq.gz,672031389
SRR5898939_1.fastq.gz,592976797
SRR5898989_1.fastq.gz,528389796
SRR5898940_1.fastq.gz,477560578
SRR5898990_1.fastq.gz,929442017
SRR5898941_1.fastq.gz,684185087
SRR5898991_1.fastq.gz,507827428
SRR5898942_1.fastq.gz,632595318
SRR5898992_1.fastq.gz,502069027
SRR5898943_1.fastq.gz,391806268
SRR5898993_1.fastq.gz,420926271
SRR5898944_1.fastq.gz,632910327
SRR5898994_1.fastq.gz,585320472
SRR5898945_1.fastq.gz,515885129
SRR5898995_1.fastq.gz,330937806
SRR5898946_1.fastq.gz,677163354
SRR5898996_1.fastq.gz,437002563
SRR5898947_1.fastq.gz,665176754
SRR5898997_1.fastq.gz,856461930
SRR5898948_1.fastq.gz,512202640
SRR5898998_1.fastq.gz,551994129
SRR5898949_1.fastq.gz,660703738
SRR5898999_1.fastq.gz,1149979803
SRR5898950_1.fastq.gz,327075822
SRR5899000_1.fastq.gz,541893385
SRR5898951_1.fastq.gz,509505688
SRR5899001_1.fastq.gz,423638268
SRR5898952_1.fastq.gz,389305595
SRR5899002_1.fastq.gz,429501341
SRR5898953_1.fastq.gz,790003227
SRR5899003_1.fastq.gz,622020130
SRR5898954_1.fastq.gz,366629535
SRR5899004_1.fastq.gz,920385395
SRR5898955_1.fastq.gz,464602899
SRR5899005_1.fastq.gz,552645366
SRR5898956_1.fastq.gz,734961340
SRR5899006_1.fastq.gz,802277341
SRR5898957_1.fastq.gz,532924600
SRR5899007_1.fastq.gz,556633098
SRR5898958_1.fastq.gz,624112373
SRR5898908_1.fastq.gz,645355043
SRR5899008_1.fastq.gz,367200037
SRR5899009_1.fastq.gz,414656429
SRR5899010_1.fastq.gz,412578461
SRR5899011_1.fastq.gz,479145394
SRR5899012_1.fastq.gz,522826924
SRR5899013_1.fastq.gz,538149488
SRR5899014_1.fastq.gz,492642898
SRR5899015_1.fastq.gz,428070078
SRR5899016_1.fastq.gz,675664634
SRR5899017_1.fastq.gz,302179092
